Date,Closing Price (USD)
3/9/2014,611
3/10/2014,637
3/11/2014,626
3/12/2014,633
3/13/2014,631
3/14/2014,636
3/15/2014,628
3/16/2014,632
3/17/2014,630
3/18/2014,617
3/19/2014,616
3/20/2014,601
3/21/2014,581
3/22/2014,570
3/23/2014,562
3/24/2014,557
3/25/2014,573
3/26/2014,572
3/27/2014,570
3/28/2014,509
3/29/2014,499
3/30/2014,486
3/31/2014,472
4/1/2014,464
4/2/2014,480
4/3/2014,427
4/4/2014,432
4/5/2014,453
4/6/2014,462
4/7/2014,456
4/8/2014,452
4/9/2014,450
4/10/2014,426
4/11/2014,374
4/12/2014,438
4/13/2014,423
4/14/2014,409
4/15/2014,455
4/16/2014,517
4/17/2014,522
4/18/2014,490
4/19/2014,469
4/20/2014,507
4/21/2014,505
4/22/2014,497
4/23/2014,487
4/24/2014,487
4/25/2014,469
4/26/2014,448
4/27/2014,452
4/28/2014,426
4/29/2014,432
4/30/2014,444
5/1/2014,454
5/2/2014,453
5/3/2014,441
5/4/2014,438
5/5/2014,432
5/6/2014,418
5/7/2014,428
5/8/2014,442
5/9/2014,439
5/10/2014,449
5/11/2014,449
5/12/2014,434
5/13/2014,437
5/14/2014,438
5/15/2014,445
5/16/2014,443
5/17/2014,445
5/18/2014,445
5/19/2014,444
5/20/2014,455
5/21/2014,489
5/22/2014,490
5/23/2014,522
5/24/2014,512
5/25/2014,533
5/26/2014,579
5/27/2014,581
5/28/2014,572
5/29/2014,562
5/30/2014,571
5/31/2014,612
6/1/2014,638
6/2/2014,634
6/3/2014,660
6/4/2014,627
6/5/2014,642
6/6/2014,652
6/7/2014,648
6/8/2014,652
6/9/2014,652
6/10/2014,644
6/11/2014,642
6/12/2014,632
6/13/2014,585
6/14/2014,588
6/15/2014,570
6/16/2014,589
6/17/2014,592
6/18/2014,610
6/19/2014,601
6/20/2014,594
6/21/2014,582
6/22/2014,599
6/23/2014,592
6/24/2014,584
6/25/2014,575
6/26/2014,571
6/27/2014,582
6/28/2014,597
6/29/2014,598
6/30/2014,597
7/1/2014,647
7/2/2014,637
7/3/2014,642
7/4/2014,643
7/5/2014,628
7/6/2014,631
7/7/2014,631
7/8/2014,621
7/9/2014,620
7/10/2014,621
7/11/2014,616
7/12/2014,634
7/13/2014,627
7/14/2014,621
7/15/2014,618
7/16/2014,619
7/17/2014,614
7/18/2014,623
7/19/2014,623
7/20/2014,623
7/21/2014,617
7/22/2014,622
7/23/2014,618
7/24/2014,617
7/25/2014,602
7/26/2014,597
7/27/2014,592
7/28/2014,580
7/29/2014,585
7/30/2014,580
7/31/2014,564
8/1/2014,583
8/2/2014,593
8/3/2014,581
8/4/2014,585
8/5/2014,582
8/6/2014,582
